articleText,category,date,heading,id,page,pageSequence,relevance,snippet,title,troveUrl,url,title_name,title_id
"<p><span>  FtN  DAILY  '""MBRCUR.-YP'  \  S</span></p> <p><span>  .  Tenipiic-ji.--.,;  Nip.  j  :&lt;</span></p> <p><span>  At!  i-i.iiiN-Yiiiji.i-i'.r.'/fs  un  busier.""!""'</span><span>  |  -..a-  -I  rii.  T-.  ii.'/.  li'.ii  .'A-'  li-l.l.iiVSr-.gf!--  10'  i  iit:</span><span>  I..,';  !;-  '  Hjt-'-i'iVi  diided  N-i'1</span><span>  -  :  -  -  i  -  '  :  -ii-  .  -  '  .-c  T-i'l-  l""  to  TRIE</span><span>  'i:-:!-.;  --  Mp  rvc  r.V  ca.sq  I--.-'-</span><span>  .i  1  -'liiunc  am!  alii-</span><span>  '1  '-  1  i'  sta'mpv-d</span><span>  .  -ii  'V.-'ii  r-'ritji'  is'-""  cuili>si|i:'</span><span>  '  !  '  rour  to  ralcf:></span><span>  i""  -.ii'pl.;.  iiiA  I'l'te""  ThOBC""  v/h  it-h</span><span>  (-.  -;  -,  -;e  iviii;  r.o..  j-.</span><span>  .  respop.sibie  itti.r  i  aedqs--&lt;,o(;ii!  n.$-  ntaiih-</span><span>  i  script.  '  '  A,  1  >'</span></p> ",Article,1916-04-06,"""THE DAILY MERCURY"". [?]",188678341,2,2,"{'score': '7332.1826', 'value': 'very relevant'}",All [?],"{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188678341?searchTerm=%27Daily+Mercury%27,/newspaper/188678341,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  %  CH  R  istmas  .  HQLipAYSv-</span></p> <p><span>  ...  NOTICE.  '  '/Z  ""V-</span><span>  ""TH£;.  DjULY  3IERCURY.""</span></p> <p><span>  will  Not  he  'Published  011  Christ</span><span>  mas  Day  or  Bexjng  Ray,  Monday,</span><span>  -  December  25Uu,  and  .  Tuesday</span><span>  Dceculbcr  2Glli.  .</span></p> ",Article,1916-12-21,"CHRISTMAS HOLIDAYS. NOTICE. ""THE DAILY MERCURY.""",188674056,2,2,"{'score': '5513.7505', 'value': 'very relevant'}","Will Not be Published on Christmas Day or Boxing Day, Monday, December 25th., and Tuesday December 26th.","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188674056?searchTerm=%27Daily+Mercury%27,/newspaper/188674056,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  ""  the  daily  mercery.""</span></p> <p><span>  Telephone:  No.  8.</span></p> <p><span>  All  communication  on  busmcss</span><span>  matters  should  be  addressed  to  THE</span><span>  MANAGEK.""  j,  -</span><span>  Letters,  articles,  etc.,  intended  Tot-</span><span>  publication  should  be  sent  to  THE</span><span>  EDITOR,  and  must  iu  every  case  be</span><span>  authenticated  by  the  name  and  ad-</span></p> <p><span>  cress  of  the  sender,  it  a  stamped</span><span>  and  addressed  envelope  is  enclosed,</span><span>  tbe  Editor  will  endeavour  to  return</span><span>  as  promptly  as  possible  those  which</span><span>  are  not  accepted;  but  he  will  not  be</span><span>  responsible  for  the  loss  of  any  manu</span><span>  script.</span><span>  The  Daiiy  Mercury-</span><span>  TUESDAY,  JANUARY  18,  1916.</span></p> ",Article,1916-01-18,"""THE DAILY MERCURY."" Telephone: No. 8.",172299052,5,5,"{'score': '5510.517', 'value': 'very relevant'}","All communication on business matters should be addressed to THE MANAGER. Letters, articles, etc., intended for","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/172299052?searchTerm=%27Daily+Mercury%27,/newspaper/172299052,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  ""  THE  DAILY  MERCURY.""</span></p> <p><span>  Telephone:  No.  8.</span></p> <p><span>  M!  communications  on  business</span><span>  niaciers  should  lie  addressed  to  'I'll  id</span><span>  MA  NIG  Lit.</span><span>  Letters,  a:  tides.  etc.,  :n;e:ided  for</span><span>  -ill'-,  lent  ion  sheii.,1  lie  sent  to  THE</span></p> <p><span>  I.  Hi  i'Oli.  a  ne.  i.-:  in  every  case  he</span><span>  :u;  :'.-a!e  .  .  .  oaaie  and  ad-</span><span>  r-:-s  ,jf  tea  -  a  stumped</span><span>  Hit!  a  hi.  e.-ie.i  I'l'.t  (Ij'i:  '.S  enclosed,</span><span>  v  No.  ioy  wot  i-ij,ie.i\t..ur  to  u-turn</span><span>  pit'iupriy  .is  pos.N.idc.  tao.-.e  wii'eb</span><span>  are  not  ai.eei.i"".!  :  ;u:r  lie  will  no:  Ir</span><span>  responsible  for  Lie  loss  of  any  manu</span><span>  script.</span></p> ",Article,1916-04-04,""" THE DAILY MERCURY."" Telephone: No. 8.",188672944,5,5,"{'score': '5509.3496', 'value': 'very relevant'}","M! communications on business authers should he addressed to THE MANAGER. Letters, article. etc., intended for","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188672944?searchTerm=%27Daily+Mercury%27,/newspaper/188672944,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  Ike  Mercti'y-  ;</span></p> <p><span>  MONDAY.  MAY  22,  1916.  '</span><span>  .  prime  --sinister  .hughes.'  --  (</span><span>  ACKN.OW1  .EDGES  S  COTTISH  :</span><span>  HOSPITALITY.</span><span>  London.  Saturday.</span></p> <p><span>  In  acknowledging  Scottish  hospi</span><span>  tality  Prime  Minister  Hughes  has</span><span>  written  to  the  Lord  Provost  of</span><span>  'Edinburgh,  ns  follows  :—  ""I  >c|:pinot:.</span><span>  leave.  those  shores  without  express-</span></p> <p><span>  ing  my  greaP  pleasure  anil  satisfac</span><span>  tion  at  the  extreme  cordiality</span><span>  shown  me  at  the  wonderful  gather</span><span>  ings  of  your  citizens.""  He  lias  also</span><span>  written  to  the  Lord  Provost  of</span><span>  Glasgow  to  this  effect:  —  ""The  cor</span><span>  diality  showered  from  all  sides  has</span><span>  touched  me  beyond  words.  It  has</span><span>  proved  that  the  people  of  Glasgow</span><span>  strongly  favour  a  vigorous  aggres</span><span>  sive  policy,  first  to  win-  the  war,  and</span><span>  afterwards  to  put  commerce  and</span><span>  machinery  in  order  with  a  view  to</span><span>  ensuring  that  the  Empire  shall  pro</span><span>  gress  along  the  right  lines.  The</span><span>  conference  of  business  men  and</span><span>  labourites  was  an  '  inspiration  to</span><span>  me,  and  this  coupled  with'  the  op</span><span>  portunity  of  addressing  the  Clyde</span><span>  workers,  has  made  my  visit  memor</span><span>  able.""</span><span>  i  '  :  :</span></p> ",Article,1916-05-22,"The Daily Mercury. MONDAY, MAY 22, 1916. PRIME MINISTER HUGHES. ACKNOWLEDGES SCOTTISH HOSPITALITY. London, Saturday.",188689237,4,4,"{'score': '3676.658', 'value': 'very relevant'}","In acknowledging Scottish hospitality Prime Minister Hughes has written to the Lord Provost of Edinburgh as follows:--""I cannot","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188689237?searchTerm=%27Daily+Mercury%27,/newspaper/188689237,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  The  Daily  Mercury-</span><span>  .  MONDAY,  MAY  8,  1916.</span></p> <p><span>  CASE  AGAINST  COMMON</span><span>  WEALTH.</span><span>  JUDGllIENT  RESERVED.</span><span>  .  London,  Saturday.</span></p> <p><span>  In  the  ease  brought  before  the</span><span>  Privy  Council  .  by  the  Attorney-</span><span>  General  of.  Queensland  against  the</span><span>  Attorney-Gencrai  of  the  Common</span><span>  wealth.  Judgment,  has  been  re-</span></p> <p><span>  served.  ""  .</span></p> ",Article,1916-05-08,"The Daily Mercury MONDAY, MAY 8, 1916. CASE AGAINST COMMONWEALTH. JUDGMENT RESERVED. London, Saturday.",188676253,4,4,"{'score': '3676.2273', 'value': 'very relevant'}",In the case brought before the Privy Council by the Attorney-General of Queensland against the Attorney-General of the served.,"{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188676253?searchTerm=%27Daily+Mercury%27,/newspaper/188676253,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  The  Daily  Mercury-</span></p> <p><span>  !  WEDNESDAY,  JULY  26,  19IG.</span><span>  ""ALL  GOES  WELL  IN  THE  WEST.""</span></p> <p><span>  A  fortnight  ago  General  Sir  Doug</span><span>  las  Haig  reported  ""All  goes  well.""</span><span>  Although  the  Franco-British  advance</span><span>  has  not  been  pushed  since  that  first</span><span>  great  and  grand  rush  and  ground  is</span><span>  sometimes  lost  that  was  won  at  great</span></p> <p><span>  sacrifice,  the  cablegrams  hear  only</span><span>  .me  meaning,  that  the  offensive  is  be</span><span>  ing  prosecuted  with  tho  utmost  vig</span><span>  our,  and  despite  all  checks  all  is</span><span>  going  as  well  as  the  army  leaders</span><span>  could  expect.  The  German  state</span><span>  ment  that  the  British  advance  has</span><span>  been  checked  is  Slot  supported  by</span><span>  Jie  daily  happenings.  A  lull  in  the</span><span>  attack  does  not  imply  that  it  has</span><span>  been  stemmed.  As  one  writer  points</span><span>  out,  villages  cannot  be  taken  every</span><span>  day,  and  a  certain  amount  of  con</span><span>  solidation  has  to  take  place  before</span><span>  further  advances  are  attempted.  Dur</span><span>  ing  these  intervals  the  enemy  is  not</span><span>  asleep.  It  is  the  time  for  counter</span><span>  attack,  and  the  Germans  have  proved</span><span>  .itnes  out  of  numjjer  that  they  do  not</span><span>  value  human  life  when  they  are  de</span><span>  termined  to  win  back  any  lost</span><span>  .  ground.  What  seems  to  be  .'fairly-</span><span>  clear  is  that  the  German  second  line</span><span>  has  been  broken  and  is  in  such  grave</span><span>  peril  that  tho  Allies  may  at  any  time</span><span>  sweep  beyond  it  to  the  encounter  for</span><span>  ;.he  third  line  now  securely  held  by</span><span>  the  Germans.  Late  news  states  that</span><span>  the  Germans  are  hurrying  up  over</span><span>  300,000  troops  to  meet  the  Kaiser's</span><span>  ""contemptible  little  British  army,""</span><span>  and  the  public  may  rest  assured  that</span><span>  the  new  arrivals  will  give  a  good</span><span>  :  account  of  themselves  before  they</span><span>  j  are  overwhelmed  by  the  Allies.  Some</span><span>  speculation  has  been  caused  concern</span><span>  ing  the  size  of  Britain's  ""contempt</span><span>  ible  little  army,""  and  from  sources</span><span>  that  are  usually  recognised  to  be  au-</span><span>  horitative  it  would  appear  that  Brit</span><span>  ain  has  now  as  large  and  perhaps</span><span>  a  larger  army  in  France  than  the</span><span>  French.  Paris  ""Figaro,""  a  very  re</span><span>  liable  journal,  Recently  stated  .that</span><span>  Britain  has  in  two  years  produced</span><span>  .wo  armies  which  will  be  the  largest</span><span>  m  the  western  front  That  is  what</span><span>  the  late  Lord  Kitchener  succeeded</span><span>  j  in  doing  by  his  wonderful  organising</span><span>  abilities,  and  the  Empire  is  about  to</span><span>  eap  the  reward  of  his  labours.  For</span><span>  a  time  the  Empire  was  unable  to</span><span>  urn  out  the  armies  that  were  re</span><span>  quired  to  overcome  German  hordes</span><span>  that  were  trained  to  the  hour,  but</span><span>  eke  period  of  waiting  has  now  been</span><span>  overcome,  and  Britain's  resources  in</span><span>  men  and  material  can  he  pitted  with</span><span>  confidence  against  .'the  hordes  'that</span><span>  were  to  conquer  Europe  and  the</span><span>  world.  The  result  of  ""the  ,  ..Conflict</span><span>  since  Britain  assumed  the  offensive</span><span>  gives  abundant  hope  of  final  victory.</span><span>  The  Germans  were  powerfully  entren</span><span>  ched  in  their  first  line  of  defence.</span><span>  They  prepared  their  defences  in  the</span><span>  full  knowledge  that  a  British  offen</span><span>  sive  was  as  sure  to  come  as  the  sun</span><span>  was  to  rise;  they  knew  that  ""the</span><span>  day""  they  were  preparing  for  was</span><span>  as  certain  as  death,  and  they  made</span><span>  most  ample  preparation.  The  ela</span><span>  borate  defences  the  British  troops</span><span>  had  to  encounter  gives  an  idea  of</span><span>  what  these  defences  are  like,  but  they</span><span>  were  not  strong  enough  to  keep  the</span><span>  British  Tommies  out  when  they  were</span><span>  told  to  advance  to  the  capture.  What</span><span>  the  people  now  have  to  do  more  than</span><span>  anything  else  is  to  possess  their</span><span>  souls  in  patience.  The  Germans  are</span><span>  not  yet  beaten,  nor  have  our  troops</span></p> <p><span>  started  on  the  long-promised  joy</span><span>  visit  to  Berlin.  Tho  Rhine  is  still  a</span><span>  long  way  off,  indeed,  as  some  writers</span><span>  have  been  careful  to  point  out,  the</span><span>  British  advance  only  amounts'  to  a</span><span>  very  few  miles,  and  Brussels  is  still</span><span>  further  away  from  the  fighting  than</span><span>  Paris.  Still,  the  great  point  to  bear</span><span>  in  mind  is  that  the  British  have  joy</span><span>  fully  declared  that  they  encountered</span><span>  the  best  German  troops  and  -  have</span><span>  beaten  them,  and  they  know  that  they</span><span>  can  beat  them  again,  and  this  know</span><span>  ledge  is  equally  well  known  to  the</span><span>  Germans;  and  herein  lies  the  great</span><span>  value  of  the  offensive  as  far  as  it</span><span>  has  gone,  it  has  filled  the  Germans</span><span>  with  respect  for  '  Britain's  ""contempt</span><span>  ible  little  army,""  and  affected  their</span><span>  morale  to  such  an  extent  that  every</span><span>  fresh  advance  will  weaken  tl.em  at</span><span>  fighters  and  make  it  easier  for  the</span><span>  Allies  to  recover  the  ground  taken</span><span>  by  the  invaders  than  it  was  to  cap</span><span>  ture  the  almost  impregnable  first  line.</span><span>  Though  'the  Allies  have  a  long  way</span><span>  to  go,  Sir  Douglas  Haig's  heartening</span><span>  message  that  ""All  goes  well""  will  in-</span><span>  splre  confidence.</span></p> ",Article,1916-07-26,"The Daily Mercury. WEDNESDAY, JULY 26, 1916. ""ALL GOES WELL IN THE WEST.""",188687384,2,2,"{'score': '3674.205', 'value': 'very relevant'}","A fortnight ago General Sir Douglas Haig reported ""All goes well."" Although the Franco-British advance has not been pushed since that first","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188687384?searchTerm=%27Daily+Mercury%27,/newspaper/188687384,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  TO  ADVERTISERS.-</span></p> <p><span>  AUvertisers  are  reminded  that  the</span><span>  ""Dally  Mercury""  wllL.uot-dffi  publish</span><span>  ed  on  ,  Monday  and  —Tuesday  mext.</span><span>  Alterations  -  for  WiednesSay  -  must  be</span></p> <p><span>  (received  ..  mot  Mat,cr  AjyiStil  10  o'clock</span><span>  to-morrow.  -.'  .Vv,/'</span></p> ",Article,1916-12-22,TO ADVERTISERS.,188685936,2,2,"{'score': '532.24744', 'value': 'very relevant'}","Advertisers are reminded that the ""Daily Mercury"" will not be published on Monday and Tuesday next. Alterations for Wednesday must be","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188685936?searchTerm=%27Daily+Mercury%27,/newspaper/188685936,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  .  '  VXIIItlST.ILVS  GREETINGS,  ...  .</span></p> <p><span>  StiVAAd'tMsVi.tl.  bs  the  last,  issue;,  of  .Rib  ;</span><span>  ""I£Sillinr?.iintil'  the  Chrifejmas</span><span>  -WiiMfaas/vb  ""exftnd'  -to.'.  o'r/rc'titT:</span><span>  .brs;;.ri'uA.i-!'-suppori.tprs  .;comulimb'rits</span><span>  rdh'U'yv:ViiftTrspcr;;lia'  tAni.'iablatjiil  diii-:-</span></p> <p><span>  .trict.Iike.oUj'-  own'  hhs"":  been  im-apriouK.</span><span>  buslnesp  since,  the,,  yvqr  cpbnbpncod;</span><span>  anfl;  it  .  has  grov.n-:  incrcitsjnKly</span><span>  cult""  as  r  lho  tmojuits..  have  .  passed;.  Ip</span><span>  the'""  first.  j)|aco.,..ani  absolute  papo'</span><span>  .famlno  threatened  at  oho  portion  of</span><span>  rtlia  year/!-  Our-""  agents  Wore  gt  tRoly</span><span>  sans.'-  oul.  tot  Itecp  thofr  ..custontfirB</span><span>  M,  with  -ra  U1  con  vnmcrit  from</span><span>  'Wire0  uiontli.  and  prices  bounded</span><span>  jfosHfcwtoin  :  -alav.riunfe'.-  iimnupi-';  ;,.'l:hp.</span><span>  ..-stti-.as-horitij'a  tu--</span></p> ",Article,1916-12-23,CHRISTMAS GREETINGS.,188683411,3,3,"{'score': '531.41064', 'value': 'very relevant'}","As this will be the last issue of the ""Daily Mercury"" until the Christmas holidays pass we extend to our readers and supporters the compliments","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188683411?searchTerm=%27Daily+Mercury%27,/newspaper/188683411,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
"<p><span>  GARDEN  PESTS.</span></p> <p><span>  \  Brassica  writes:  —  ""Apropos  of</span><span>  short  article  appearing  in  the  ""Daily</span><span>  Mereuny""  some  short  while  back  .  rela</span><span>  tive  to  garden  pests,  the  'following</span></p> <p><span>  ,-may  be  of  interest.  .  Growers  of</span><span>  french  beans  will,  no  doubt,  have  ex</span><span>  perienced  trouble  with  an  insect  which</span><span>  .appears  to  attack  the.  .plants  at  all</span><span>  stages,  sometimes  when  little  more</span><span>  than  above  ground.  An  attack  at'  tins</span><span>  stage  is  particularly  mortifying,  as</span><span>  tho  mass  of  flower  leads  the  grower</span><span>  to  anticipate  a  heavy  crop;;  instead</span><span>  of  which  the  majority  of  the  blooms</span><span>  do.  not  set  at  all,  nnd  those  which  'do</span><span>  produce  small  and  distorted  beans.</span><span>  The  disease  is  generally  characterise!.1</span><span>  by  the  appearance  of  a  brown  wart</span><span>  growth  on  the  main-  stem  and  leaf</span><span>  stalks,  especially  at  base  of  latter.</span><span>  Oil  uprooting  the  plants  and  remov</span><span>  ing  the  thin  outer  skin  from  the  por</span><span>  tion  which-  has  been  underground;</span><span>  numbers  of  very  small  maggots  may;</span><span>  be  seen,  and  in  some  instances  very</span><span>  minute  brown,  oval  shaped  eggs.  This</span><span>  pest  seems  to  have  been-  more  than</span><span>  usually  troublesome  this  season,  '  arid</span></p> <p><span>  tie  loliowmg  passage,  quoted  from</span><span>  the  answer  supplied  by  tlie  courtcsv</span><span>  of  Messrs.  H.  A.  Petersen  &  Co  ,</span><span>  seedsmen,  ete.,  of  Brisbane,.  t0  a  let</span><span>  ter  of  enquiry  in  connection  with  the</span><span>  matter,  may  not  be  out  of  place:—</span><span>  yRe  Beans.—  The  cause  of'  their</span><span>  gmng  off  ,  is  due  to  a  small  insect,</span><span>  which  penetrates  the  stem  of  the  plant</span><span>  and  eventually  destroys  it  altogether.</span><span>  Unfortunately  there  is  nothing  we  can</span><span>  offer  to  destroy  theni.  From  Novem</span><span>  ber  until  the  end  of  April;  this  dis</span><span>  ease  is  prevalent  throughout  the  'State,</span><span>  out  as  the  weather  becomes  cooler,</span><span>  the  msec,  t  'disappears.  :  A;  preven</span><span>  tative  might  be  found  in  us'ing  gas</span><span>  lime  (presumably  carbine  taipngs)</span><span>  digging  into  the  soil  prior  to  plant</span><span>  ing,  the  seeds.  This  plan  will,  iff  m'ost</span><span>  ases,  assure  a  satisfactory  crop.""</span><span>  uan  any  render  who  has  had  experi</span><span>  ence  in  the  use  of  above  give  any  111-</span><span>  Lormatrim  as  tn  the  quantitv  of  .ah-ivo</span><span>  '  Y  !  .  "".  .?  """"""""'""r  'f  w:n  destroy  Ihe-</span><span>  be  .  itself  u  applied;  at  the  time  of  1</span><span>  sowing?""  ,  .</span></p> ",Article,1916-05-09,GARDEN PESTS.,188675075,2,2,"{'score': '530.3446', 'value': 'very relevant'}","Brassica writes:--""Apropos of short article appearing in the ""Daily Mercury"" some short while back relative to garden pests, the following","{'id': '837', 'value': 'Daily Mercury (Mackay, Qld. : 1906 - 1954)'}",https://trove.nla.gov.au/ndp/del/article/188675075?searchTerm=%27Daily+Mercury%27,/newspaper/188675075,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",837
