endDate,id,issn,startDate,state,title,troveUrl,num_operating_years
1955-12-29,1066,22051295,1909-01-02,Queensland,"Balonne Beacon (St. George, Qld. : 1909 - 1954)",https://trove.nla.gov.au/ndp/del/title/1066,46
1954-12-24,899,1832892X,1911-01-03,Queensland,Bowen Independent (Qld. : 1911 - 1954),https://trove.nla.gov.au/ndp/del/title/899,43
1954-12-31,1055,22051449,1948-01-01,Queensland,Brisbane Telegraph (Qld. : 1948 - 1954),https://trove.nla.gov.au/ndp/del/title/1055,6
1909-07-03,62,18373143,1907-12-02,Queensland,Cairns Morning Post (Qld. : 1907 - 1909),https://trove.nla.gov.au/ndp/del/title/62,2
1893-05-20,60,18373135,1884-02-14,Queensland,Cairns Post (Qld. : 1884 - 1893),https://trove.nla.gov.au/ndp/del/title/60,9
1954-12-31,61,13228587,1909-07-05,Queensland,Cairns Post (Qld. : 1909 - 1954),https://trove.nla.gov.au/ndp/del/title/61,45
1922-12-15,286,22001174,1903-07-31,Queensland,Chronicle and North Coast Advertiser (Qld. : 1903 - 1922),https://trove.nla.gov.au/ndp/del/title/286,19
1953-12-01,833,22037837,1931-01-10,Queensland,Cloncurry Advocate (Qld. : 1931 - 1953),https://trove.nla.gov.au/ndp/del/title/833,22
1954-12-31,837,13295942,1906-01-10,Queensland,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",https://trove.nla.gov.au/ndp/del/title/837,48
1936-07-07,893,22045082,1912-12-28,Queensland,"Daily Standard (Brisbane, Qld. : 1912 - 1936)",https://trove.nla.gov.au/ndp/del/title/893,24
1879-12-27,1062,22051570,1866-01-11,Queensland,Dalby Herald and Western Queensland Advertiser (Qld. : 1866 - 1879),https://trove.nla.gov.au/ndp/del/title/1062,13
1922-06-30,834,22036873,1881-01-05,Queensland,Darling Downs Gazette (Qld. : 1881 - 1922),https://trove.nla.gov.au/ndp/del/title/834,41
1954-12-18,852,22039147,1937-01-30,Queensland,Dayboro Times and Moreton Mail (Qld. : 1937 - 1940; 1945 - 1954),https://trove.nla.gov.au/ndp/del/title/852,17
1896-01-01,1103,22054278,1895-01-04,Queensland,Geraldton Advocate and Johnstone River Guardian (Qld. : 1895 - 1896),https://trove.nla.gov.au/ndp/del/title/1103,1
1919-12-30,839,22036912,1868-10-17,Queensland,Gympie Times and Mary River Mining Gazette (Qld. : 1868 - 1919),https://trove.nla.gov.au/ndp/del/title/839,51
1932-11-10,851,22039120,1927-03-10,Queensland,"Humpybong Weekly and Advertiser (Redcliffe, Qld. : 1927 - 1932)",https://trove.nla.gov.au/ndp/del/title/851,5
1861-08-30,376,22007458,1861-03-29,Queensland,Ipswich Herald and General Advertiser (Qld. : 1861),https://trove.nla.gov.au/ndp/del/title/376,0
1908-08-19,1059,22051511,1906-12-06,Queensland,"Johnstone River Advocate (Geraldton, Qld. : 1906 - 1908)",https://trove.nla.gov.au/ndp/del/title/1059,2
1941-05-16,1060,22051538,1928-08-28,Queensland,Johnstone River Advocate and Innisfail News (Qld. : 1928 - 1941),https://trove.nla.gov.au/ndp/del/title/1060,13
1900-09-15,842,22039996,1893-09-23,Queensland,Logan and Albert Advocate (Qld. : 1893 - 1900),https://trove.nla.gov.au/ndp/del/title/842,7
1928-06-23,843,22039724,1896-08-29,Queensland,"Logan and Albert Bulletin (Southport, Qld. : 1896 - 1901; 1909; 1921; 1922; 1928)",https://trove.nla.gov.au/ndp/del/title/843,32
1893-06-10,850,22039708,1878-02-09,Queensland,"Logan Witness (Beenleigh, Qld. : 1878 - 1893)",https://trove.nla.gov.au/ndp/del/title/850,15
1905-12-30,836,2203787X,1887-05-12,Queensland,Mackay Mercury (Qld. : 1887 - 1905),https://trove.nla.gov.au/ndp/del/title/836,18
1887-05-10,835,22037853,1867-03-20,Queensland,Mackay Mercury and South Kennedy Advertiser (Qld. : 1867 - 1887),https://trove.nla.gov.au/ndp/del/title/835,20
1954-12-31,732,22029141,1947-04-25,Queensland,Maryborough Chronicle (Qld. : 1947 - 1954),https://trove.nla.gov.au/ndp/del/title/732,7
1947-04-24,731,22029052,1860-11-21,Queensland,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",https://trove.nla.gov.au/ndp/del/title/731,87
1935-10-18,1298,22075496,1886-01-09,Queensland,"Moreton Mail (Qld. : 1886 - 1899, 1930 - 1935)",https://trove.nla.gov.au/ndp/del/title/1298,49
1954-12-31,77,13227769,1878-01-03,Queensland,"Morning Bulletin (Rockhampton, Qld. : 1878 - 1954)",https://trove.nla.gov.au/ndp/del/title/77,76
1907-11-30,79,18373119,1897-06-09,Queensland,"Morning Post (Cairns, Qld. : 1897 - 1907)",https://trove.nla.gov.au/ndp/del/title/79,10
1954-12-31,106,18397077,1922-12-22,Queensland,Nambour Chronicle and North Coast Advertiser (Qld. : 1922 - 1954),https://trove.nla.gov.au/ndp/del/title/106,32
1868-10-15,838,2203742X,1868-02-15,Queensland,"Nashville Times, Gympie and Mary River Mining Gazette (Qld. : 1868)",https://trove.nla.gov.au/ndp/del/title/838,0
1918-12-13,678,2202512X,1916-09-15,Queensland,"National Leader (Brisbane, Qld. : 1916 - 1918)",https://trove.nla.gov.au/ndp/del/title/678,2
1863-09-12,263,18396798,1862-05-01,Queensland,"North Australian and Queensland General Advertiser (Ipswich, Qld. : 1862 - 1863)",https://trove.nla.gov.au/ndp/del/title/263,1
1874-12-31,1068,22051228,1865-07-24,Queensland,"Northern Argus (Rockhampton, Qld. : 1865 - 1874)",https://trove.nla.gov.au/ndp/del/title/1068,9
1954-12-24,900,22045104,1919-01-01,Queensland,Pittsworth Sentinel (Qld. : 1919 - 1954),https://trove.nla.gov.au/ndp/del/title/900,35
1954-12-30,379,1321165X,1900-03-28,Queensland,Queensland Country Life (Qld. : 1900 - 1954),https://trove.nla.gov.au/ndp/del/title/379,54
1885-06-27,338,22002839,1883-01-06,Queensland,"Queensland Figaro (Brisbane, Qld. : 1883 - 1885)",https://trove.nla.gov.au/ndp/del/title/338,2
1936-10-17,336,22002855,1901-08-15,Queensland,"Queensland Figaro (Brisbane, Qld. : 1901 - 1936)",https://trove.nla.gov.au/ndp/del/title/336,35
1889-11-02,337,22002847,1885-07-04,Queensland,"Queensland Figaro and Punch (Brisbane, Qld. : 1885 - 1889)",https://trove.nla.gov.au/ndp/del/title/337,4
1954-12-31,378,13295950,1909-01-01,Queensland,"Queensland Times (Ipswich, Qld. : 1909 - 1954)",https://trove.nla.gov.au/ndp/del/title/378,45
1908-12-31,377,22007474,1861-10-08,Queensland,"Queensland Times, Ipswich Herald and General Advertiser (Qld. : 1861 - 1908)",https://trove.nla.gov.au/ndp/del/title/377,47
1878-01-01,91,1837378X,1872-01-02,Queensland,Rockhampton Bulletin (Qld. : 1871 - 1878),https://trove.nla.gov.au/ndp/del/title/91,6
